# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Sep 29 21:45:42 2019
#
# User preference: *
#
# CONSTRAINT:  order by pl_pelink asc
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_controvflag: Controversial Flag
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_trandep:     Transit Depth [percent]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_disc:        Year of Discovery
# COLUMN pl_facility:    Discovery Facility
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
# COLUMN pl_edelink:     Link to Exoplanet Data Explorer
#
loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_trandep,pl_trandur,pl_tranmid,pl_disc,pl_facility,pl_pelink,pl_edelink
16,2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,0,1,7336.50000000,,0.260000,46.200,20.95000,Mass,0.920,,0,0,0,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25.00,33.12,,,17.396,2300.00,0.08,0.12,2014-05-14,,,,2009,W. M. Keck Observatory,http://exoplanet.eu/catalog/2m_2140+16_b/,
17,2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,0,1,,230.000000,,,12.50000,Mass,,,0,0,0,1,22h36m24.53s,339.102203,+47d51m42.6s,47.861820,74.00,69.71,12.510,V (Johnson),11.948,4045.00,0.60,,2016-11-10,,,,2016,W. M. Keck Observatory,http://exoplanet.eu/catalog/2m_2236%2B4751_b/,
18,30 Ari B,b,30 Ari B b,Radial Velocity,0,1,335.10001000,0.990000,0.290000,,13.82000,Msini,,,0,0,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,44.71,44.71,6.962,V (Johnson),6.961,6331.00,1.93,1.41,2018-09-06,,,,2009,Thueringer Landessternwarte Tautenburg,http://exoplanet.eu/catalog/30_ari_b_b/,http://exoplanets.org/detail/30_Ari_B_b
19,4 UMa,b,4 UMa b,Radial Velocity,0,1,269.30000000,0.870000,0.432000,,7.10000,Msini,,,0,0,0,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,73.58,73.58,4.610,V (Johnson),4.160,4415.00,1.23,18.11,2014-05-14,,,,2006,Thueringer Landessternwarte Tautenburg,http://exoplanet.eu/catalog/4_uma_b/,http://exoplanets.org/detail/4_UMa_b
20,42 Dra,b,42 Dra b,Radial Velocity,0,1,479.10000000,1.190000,0.380000,,3.88000,Msini,,,0,0,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,90.86,90.86,4.820,V (Johnson),4.364,4200.00,0.98,22.03,2014-05-14,,,,2008,Thueringer Landessternwarte Tautenburg,http://exoplanet.eu/catalog/42_dra_b/,http://exoplanets.org/detail/42_Dra_b
21,47 UMa,b,47 UMa b,Radial Velocity,0,3,1078.00000000,2.100000,0.032000,,2.53000,Msini,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,13.80,5.050,V (Johnson),4.831,5892.00,1.03,1.23,2014-05-14,,,,1996,Lick Observatory,http://exoplanet.eu/catalog/47_uma_b/,http://exoplanets.org/detail/47_UMa_b
22,47 UMa,c,47 UMa c,Radial Velocity,0,3,2391.00000000,3.600000,0.098000,,0.54000,Msini,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,13.80,5.050,V (Johnson),4.831,5892.00,1.03,1.23,2014-05-14,,,,2001,Lick Observatory,http://exoplanet.eu/catalog/47_uma_c/,http://exoplanets.org/detail/47_UMa_c
23,47 UMa,d,47 UMa d,Radial Velocity,0,3,14002.00000000,11.600000,0.160000,,1.64000,Msini,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,13.80,5.050,V (Johnson),4.831,5892.00,1.03,1.23,2014-05-14,,,,2009,Lick Observatory,http://exoplanet.eu/catalog/47_uma_d/,
24,51 Eri,b,51 Eri b,Imaging,0,1,11688.00000000,12.000000,0.450000,133.000,,,,,0,0,0,1,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.40,29.78,5.230,V (Johnson),5.122,,1.75,,2019-07-11,,,,2015,Gemini Observatory,http://exoplanet.eu/catalog/51_eri_b/,
25,51 Peg,b,51 Peg b,Radial Velocity,0,1,4.23078500,0.052700,0.013000,,0.47200,Msini,,,0,0,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.47,15.47,5.500,V (Johnson),5.256,5793.00,1.12,1.20,2014-05-14,,,,1995,Haute-Provence Observatory,http://exoplanet.eu/catalog/51_peg_b/,http://exoplanets.org/detail/51_Peg_b
26,55 Cnc,b,55 Cnc b,Radial Velocity,0,5,14.65152000,0.115227,0.003400,90.000,0.83060,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.960,V (Johnson),5.714,5196.00,0.91,0.94,2014-10-29,,,,1996,Lick Observatory,http://exoplanet.eu/catalog/55_cnc_b/,http://exoplanets.org/detail/55_Cnc_b
27,55 Cnc,c,55 Cnc c,Radial Velocity,0,5,44.41750000,0.241376,0.020000,90.000,0.17140,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.960,V (Johnson),5.714,5196.00,0.91,0.94,2014-10-29,,,,2004,McDonald Observatory,http://exoplanet.eu/catalog/55_cnc_c/,http://exoplanets.org/detail/55_Cnc_c
28,55 Cnc,d,55 Cnc d,Radial Velocity,0,5,4825.00000000,5.503000,0.019000,90.000,3.87800,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.960,V (Johnson),5.714,5196.00,0.91,0.94,2014-10-29,,,,2002,Lick Observatory,http://exoplanet.eu/catalog/55_cnc_d/,http://exoplanets.org/detail/55_Cnc_d
29,55 Cnc,e,55 Cnc e,Radial Velocity,0,5,0.73653900,0.015440,,83.300,0.02542,Mass,0.170,6.40000,0,0,0,1,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.960,V (Johnson),5.714,5196.00,0.91,0.94,2019-01-31,,,2455733.013000,2004,McDonald Observatory,http://exoplanet.eu/catalog/55_cnc_e/,http://exoplanets.org/detail/55_Cnc_e
30,55 Cnc,f,55 Cnc f,Radial Velocity,0,5,262.00000000,0.788000,0.305000,90.000,0.14100,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.960,V (Johnson),5.714,5196.00,0.91,0.94,2014-10-29,,,,2007,Multiple Observatories,http://exoplanet.eu/catalog/55_cnc_f/,http://exoplanets.org/detail/55_Cnc_f
31,6 Lyn,b,6 Lyn b,Radial Velocity,0,1,934.30000000,2.110000,0.073000,,2.01000,Msini,,,0,0,0,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,54.74,54.74,5.860,V (Johnson),5.588,4938.00,1.44,5.20,2018-12-06,,,,2008,Okayama Astrophysical Observatory,http://exoplanet.eu/catalog/6_lyn_b/,http://exoplanets.org/detail/6_Lyn_b
32,61 Vir,b,61 Vir b,Radial Velocity,0,3,4.21500000,0.050201,0.120000,,0.01600,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,8.51,4.740,V (Johnson),4.477,5577.00,0.94,0.96,2014-05-14,,,,2009,Multiple Observatories,http://exoplanet.eu/catalog/61_vir_b/,http://exoplanets.org/detail/61_Vir_b
33,61 Vir,c,61 Vir c,Radial Velocity,0,3,38.02100000,0.217500,0.140000,,0.05700,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,8.51,4.740,V (Johnson),4.477,5577.00,0.94,0.96,2014-05-14,,,,2009,Multiple Observatories,http://exoplanet.eu/catalog/61_vir_c/,http://exoplanets.org/detail/61_Vir_c
34,61 Vir,d,61 Vir d,Radial Velocity,0,3,123.01000000,0.476000,0.350000,,0.07200,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,8.51,4.740,V (Johnson),4.477,5577.00,0.94,0.96,2014-05-14,,,,2009,Multiple Observatories,http://exoplanet.eu/catalog/61_vir_d/,http://exoplanets.org/detail/61_Vir_d
35,7 CMa,b,7 CMa b,Radial Velocity,0,1,796.00000000,1.930000,0.220000,,2.46000,Msini,,,0,0,0,0,06h36m41.04s,99.170990,-19d15m21.2s,-19.255878,19.82,19.82,3.920,V (Johnson),3.578,4792.00,1.52,2.30,2015-10-22,,,,2011,Anglo-Australian Telescope,http://exoplanet.eu/catalog/7_cma_b/,http://exoplanets.org/detail/7_CMa_b
36,70 Vir,b,70 Vir b,Radial Velocity,0,1,116.68800000,0.481000,0.398800,,7.41600,Msini,,,0,0,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,17.91,17.91,4.970,V (Johnson),4.709,5495.00,1.09,1.89,2018-12-06,,,,1996,Lick Observatory,http://exoplanet.eu/catalog/70_vir_b/,http://exoplanets.org/detail/70_Vir_b
37,75 Cet,b,75 Cet b,Radial Velocity,0,1,691.90000000,2.100000,0.117000,,3.00000,Msini,,,0,0,0,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,83.15,83.15,5.350,V (Johnson),5.055,4846.00,2.49,10.50,2015-09-03,,,,2012,Okayama Astrophysical Observatory,http://exoplanet.eu/catalog/75_cet_b/,http://exoplanets.org/detail/75_Cet_b
38,8 UMi,b,8 UMi b,Radial Velocity,0,1,93.40000000,0.490000,0.060000,,1.31000,Msini,,,0,0,0,0,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,163.32,163.32,6.830,V (Johnson),6.559,4847.00,1.44,10.30,2018-09-06,,,,2015,Bohyunsan Optical Astronomical Observatory,http://exoplanet.eu/catalog/8_umi_b/,
39,81 Cet,b,81 Cet b,Radial Velocity,0,1,952.70000000,2.500000,0.206000,,5.30000,Msini,,,0,0,0,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,101.53,101.53,5.650,V (Johnson),5.349,4785.00,2.40,11.00,2014-05-14,,,,2008,Okayama Astrophysical Observatory,http://exoplanet.eu/catalog/81_cet_b/,http://exoplanets.org/detail/81_Cet_b
40,91 Aqr,b,91 Aqr b,Radial Velocity,0,1,181.40000000,0.700000,0.027000,,3.20000,Msini,,,0,0,0,0,23h15m53.50s,348.972900,-09d05m15.9s,-9.087737,44.08,44.08,4.250,V (Johnson),3.863,4665.00,1.40,11.00,2014-05-14,,,,2013,Lick Observatory,http://exoplanet.eu/catalog/91_aqr_b/,http://exoplanets.org/detail/91_Aqr_b
41,AB Pic,b,AB Pic b,Imaging,0,1,,260.000000,,,13.50000,Mass,,,0,0,0,0,06h19m12.91s,94.803802,-58d03m15.5s,-58.054310,50.12,50.12,9.128,V (Johnson),8.838,,,,2014-05-14,,,,2005,Paranal Observatory,http://exoplanet.eu/catalog/ab_pic_b/,
42,BD+03 2562,b,BD+03 2562 b,Radial Velocity,0,1,481.90000000,1.300000,0.200000,,6.40000,Msini,,,0,0,0,0,11h50m15.55s,177.564804,+02d45m36.5s,2.760142,2618.00,1106.93,9.580,V (Johnson),8.998,4095.00,1.14,32.35,2017-06-15,,,,2017,Multiple Observatories,,
43,BD+14 4559,b,BD+14 4559 b,Radial Velocity,0,1,268.94000000,0.780000,0.290000,,1.04000,Msini,,,0,0,0,0,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,49.42,49.42,9.630,V (Johnson),9.351,4864.00,0.49,0.86,2018-09-06,,,,2009,McDonald Observatory,http://exoplanet.eu/catalog/bd%2B14_4559_b/,http://exoplanets.org/detail/BD_+14_4559_b
44,BD+15 2375,b,BD+15 2375 b,Radial Velocity,0,1,153.22000000,0.576000,0.001000,,1.06100,Msini,,,0,0,0,0,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774.00,785.38,10.310,V (Johnson),9.992,4649.00,1.08,8.95,2016-02-04,,,,2016,Roque de los Muchachos Observatory,http://exoplanet.eu/catalog/bd%2B15_2375_b/,
45,BD+15 2940,b,BD+15 2940 b,Radial Velocity,0,1,137.48000000,0.539000,0.260000,,1.11000,Msini,,,0,0,0,0,16h00m22.94s,240.095566,+15d32m48.9s,15.546930,431.61,431.61,9.046,V (Johnson),8.718,4796.00,1.10,14.70,2014-05-14,,,,2013,McDonald Observatory,http://exoplanet.eu/catalog/bd+15_2940_b/,
46,BD+20 2457,b,BD+20 2457 b,Radial Velocity,0,2,379.63000000,1.050000,0.150000,,55.59000,Msini,,,0,0,0,0,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,1670.85,1670.85,9.750,V (Johnson),9.227,4259.00,10.83,71.02,2018-09-06,,,,2009,McDonald Observatory,http://exoplanet.eu/catalog/bd%2B20_2457_b/,http://exoplanets.org/detail/BD_+20_2457_b
47,BD+20 2457,c,BD+20 2457 c,Radial Velocity,0,2,621.99000000,2.010000,0.180000,,12.47000,Msini,,,0,0,0,0,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,1670.85,1670.85,9.750,V (Johnson),9.227,4259.00,10.83,71.02,2014-05-14,,,,2009,McDonald Observatory,http://exoplanet.eu/catalog/bd%2B20_2457_c/,http://exoplanets.org/detail/BD_+20_2457_c
48,BD+20 274,b,BD+20 274 b,Radial Velocity,0,1,578.20000000,1.300000,0.210000,,4.20000,Msini,,,0,0,0,0,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,1383.85,1383.85,9.360,V (Johnson),8.916,4296.00,0.80,17.30,2015-09-18,,,,2012,McDonald Observatory,http://exoplanet.eu/catalog/bd+20_274_c/,
49,BD+20 594,b,BD+20 594 b,Transit,0,1,41.68550000,,0.000000,89.550,0.07000,Mass,0.230,,0,0,1,1,03h34m36.23s,53.650967,+20d35m57.2s,20.599232,180.39,180.39,11.038,V (Johnson),10.864,5766.00,1.67,1.08,2018-04-26,0.049000,,,2016,K2,http://exoplanet.eu/catalog/bd%2B20_594_b/,
50,BD+48 738,b,BD+48 738 b,Radial Velocity,0,1,392.60000000,1.000000,0.200000,,0.91000,Msini,,,0,0,0,0,02h42m50.45s,40.710224,+49d35m13.1s,49.586960,892.17,892.17,9.140,V (Johnson),8.656,4414.00,0.74,11.00,2015-08-13,,,,2011,McDonald Observatory,http://exoplanet.eu/catalog/bd%2B48_738_b/,http://exoplanets.org/detail/BD_+48_738_b
51,BD+48 740,b,BD+48 740 b,Radial Velocity,0,1,733.00000000,1.700000,0.760000,,1.70000,Msini,,,0,0,0,0,02h42m58.22s,40.742569,+48d55m48.2s,48.930061,678.94,678.94,8.699,V (Johnson),8.264,4534.00,1.09,10.33,2018-02-01,,,,2018,Multiple Observatories,,
52,BD+49 828,b,BD+49 828 b,Radial Velocity,0,1,2590.00000000,4.200000,0.350000,,1.60000,Msini,,,0,0,0,0,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,447.59,447.59,9.380,V (Johnson),9.029,4943.00,1.52,7.60,2015-02-05,,,,2015,McDonald Observatory,http://exoplanet.eu/catalog/bd%2B49_828_b/,
53,BD-06 1339,b,BD-06 1339 b,Radial Velocity,0,2,3.87280000,0.042800,0.000000,,0.02700,Msini,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,20.28,9.700,V (Johnson),9.107,4324.00,0.70,,2014-05-14,,,,2013,La Silla Observatory,http://exoplanet.eu/catalog/bd-06_1339_b/,
54,BD-06 1339,c,BD-06 1339 c,Radial Velocity,0,2,125.94000000,0.435000,0.310000,,0.17000,Msini,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,20.28,9.700,V (Johnson),9.107,4324.00,0.70,,2014-05-14,,,,2013,La Silla Observatory,http://exoplanet.eu/catalog/bd-06_1339_c/,
55,BD-08 2823,b,BD-08 2823 b,Radial Velocity,0,2,5.60000000,0.060000,0.150000,,0.04000,Msini,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,41.38,41.38,9.880,V (Johnson),9.503,4816.00,0.50,0.71,2018-09-06,,,,2009,La Silla Observatory,http://exoplanet.eu/catalog/bd-08_2823_b/,http://exoplanets.org/detail/BD_-08_2823_b
56,BD-08 2823,c,BD-08 2823 c,Radial Velocity,0,2,237.60000000,0.680000,0.190000,,0.33000,Msini,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,41.38,41.38,9.880,V (Johnson),9.503,4816.00,0.50,0.71,2014-05-14,,,,2009,La Silla Observatory,http://exoplanet.eu/catalog/bd-08_2823_c/,http://exoplanets.org/detail/BD_-08_2823_c
57,BD-10 3166,b,BD-10 3166 b,Radial Velocity,0,1,3.48777000,0.040000,0.020000,,0.59000,Msini,,,0,0,0,0,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,84.61,84.61,10.080,V (Johnson),9.840,5393.00,1.47,0.91,2018-09-06,,,,2000,W. M. Keck Observatory,http://exoplanet.eu/catalog/bd-10_3166_b/,http://exoplanets.org/detail/BD_-10_3166_b
58,BD-11 4672,b,BD-11 4672 b,Radial Velocity,0,1,1667.00000000,2.280000,0.050000,,0.53000,Msini,,,0,0,0,0,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.30,27.19,9.990,V (Johnson),9.485,4475.00,0.57,0.52,2015-01-08,,,,2014,La Silla Observatory,http://exoplanet.eu/catalog/bd-11_4672_b/,
59,BD-13 2130,b,BD-13 2130 b,Radial Velocity,0,1,714.29999000,1.660000,0.210000,,9.78000,Msini,,,0,0,0,0,07h37m09.23s,114.288458,-13d54m23.9s,-13.906639,948.75,948.75,9.450,V (Johnson),9.700,4545.00,2.12,19.17,2018-09-06,,,,2007,La Silla Observatory,http://exoplanet.eu/catalog/ngc_2423_3_b/,http://exoplanets.org/detail/NGC_2423_3_b
